rank,scenario,score,returncode,terrain_type,terrain_level,latent_mode,reward_step_mean,vel_err_step_mean,yaw_err_step_mean,terrain_level_step_mean,terrain_level_source,terminal_dones,terminal_timeouts,terminal_base_contacts,timeout_fraction_of_terminals,base_contact_fraction_of_terminals,timeout_events_per_env,base_contact_events_per_env,static_friction,dynamic_friction,mass_offset,motor_stiffness_scale,motor_damping_scale,observed_static_friction_mean,observed_static_friction_min,observed_static_friction_max,observed_dynamic_friction_mean,observed_dynamic_friction_min,observed_dynamic_friction_max,observed_mass_offset_mean,observed_mass_offset_min,observed_mass_offset_max,observed_motor_stiffness_scale_mean,observed_motor_stiffness_scale_min,observed_motor_stiffness_scale_max,valid_count_reward,valid_count_vel_err,valid_count_yaw_err,valid_count_terrain_level
1,motor_max_random_rough_l9,19.601731339332183,0,random_rough,9,normal,0.03521013835957274,0.0005958902835845947,0.00021582269668579102,9.0,forced,64,64,0,1.0,0.0,1.0,0.0,,,,1.4,1.4,,,,,,,,,,1.399999976158142,1.399999976158142,1.399999976158142,1000,1000,1000,0
2,combined_high_grip_heavy_strong_stairs_down_l9,19.582711674202233,0,pyramid_stairs_inv,9,normal,0.0294822632484138,0.0009163073897361755,0.00015818080306053163,9.0,forced,64,64,0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,1.4,1.4,,,,,,,,,,1.399999976158142,1.399999976158142,1.399999976158142,1000,1000,1000,0
3,latent_zero_random_rough_l9,18.732252451542767,0,random_rough,9,zero,0.031235887672752143,0.07413153465092182,0.1111106690466404,9.0,forced,64,63,1,0.984375,0.015625,0.984375,0.015625,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
4,mass_min_random_rough_l9,18.44575539919478,0,random_rough,9,normal,0.03525394048704766,0.12964672493934631,0.08808404842019081,9.0,forced,64,63,1,0.984375,0.015625,0.984375,0.015625,,,-2.0,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
5,nominal_stairs_down_l9,18.365262350370177,0,pyramid_stairs_inv,9,normal,0.029793064325116574,0.13065653923153878,0.12678507147729398,9.0,forced,64,63,1,0.984375,0.015625,0.984375,0.015625,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
6,mass_max_random_rough_l9,17.49300424549775,0,random_rough,9,normal,0.02723038721596822,0.2338776090592146,0.12361417452991008,9.0,forced,64,62,2,0.96875,0.03125,0.96875,0.03125,,,4.0,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
7,motor_min_random_rough_l9,17.124989334134384,0,random_rough,9,normal,0.026383619578555225,0.169404777020216,0.12515524165332317,9.0,forced,64,59,5,0.921875,0.078125,0.921875,0.078125,,,,0.6,0.6,,,,,,,,,,0.6000000238418579,0.6000000238418579,0.6000000238418579,1000,1000,1000,0
8,fric_min_random_rough_l9,16.385791902061555,0,random_rough,9,normal,0.02499452444911003,0.33442749378085135,0.1217511390671134,9.0,forced,64,60,4,0.9375,0.0625,0.9375,0.0625,0.1,0.1,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
9,latent_shuffled_random_rough_l9,15.915349521179648,0,random_rough,9,shuffled,0.030961084659677,0.236623955309391,0.17955230832099914,9.0,forced,65,57,8,0.8769230769230769,0.12307692307692308,0.890625,0.125,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
10,nominal_random_rough_l9,15.791347356469666,0,random_rough,9,normal,0.032251288487110286,0.2133082809895277,0.20075000324845313,9.0,forced,66,57,9,0.8636363636363636,0.13636363636363635,0.890625,0.140625,,,,,,,,,,,,,,,0.9865598678588867,0.6006205677986145,1.3996775150299072,1000,1000,1000,0
